contact_id,season_year,tenure,percent_total_used,flash_profit_loss,renewed
155155,2014-2015,17,0.709302326,0,
19624016,2014-2015,1,0.906976744,0,
1542773,2014-2015,7,0.813953488,0,
2408901,2014-2015,4,0.848837209,0,
21089462,2014-2015,1,0.86627907,0,
8144046,2014-2015,3,0.92248062,0,
2350398,2014-2015,4,0.875968992,0,
2370497,2014-2015,4,0.802325581,0,
1699443,2014-2015,5,0.697674419,0,
22165097,2014-2015,1,0.76744186,0,
112721,2014-2015,19,0.88372093,0,
5889441,2014-2015,3,0.941860465,0,
222002,2014-2015,12,0.988372093,0,
5636498,2014-2015,6,0.941860465,0,
142355,2014-2015,14,0.930232558,0,
1730822,2014-2015,5,0.627906977,0,
1695873,2014-2015,5,0.023255814,0,
112149,2014-2015,19,0.860465116,0,
21078291,2014-2015,1,0.813953488,0,
9245018,2014-2015,3,0.093023256,0.037567084,
1707275,2014-2015,5,0.046511628,0,
21077976,2014-2015,1,0.689922481,0.006459948,
22099864,2014-2015,1,0.302325581,-0.055813953,
3944470,2014-2015,8,0.441860465,0,
2381531,2014-2015,4,0.872093023,0,
5303978,2014-2015,3,0.825581395,0,
1698356,2014-2015,5,0.720930233,0,
22499951,2014-2015,1,0,0,
14824080,2014-2015,1,0.62195122,0,
21105749,2014-2015,1,0.872093023,0,
16199020,2014-2015,1,0.906976744,0,
2435885,2014-2015,4,0.848837209,0,
3033962,2014-2015,3,0.11627907,-0.033914729,
9183623,2014-2015,3,0,0,
295204,2014-2015,11,0.88372093,0.034002819,
154462,2014-2015,18,0.930232558,0,
2381696,2014-2015,4,0.81300813,0,
1696125,2014-2015,5,0,0,
9393469,2014-2015,2,0.825581395,0,
1893256,2014-2015,4,0.73255814,0,
14014144,2014-2015,1,0.11627907,-0.0625323,
1771644,2014-2015,5,0.709302326,0,
1719221,2014-2015,5,0.787790698,0,
141882,2014-2015,19,0.852941176,0,
214577,2014-2015,12,0,0,
120883,2014-2015,19,0.837209302,0,
20425913,2014-2015,1,0.186046512,0.037567084,
138153,2014-2015,19,0.726744186,0,
