contact_id,seats,seat_end,seat_start,number_seats,years,num_years,attendance,performance,tix_num,zip,distance,section,num_sections,multiple_sections,lower_level,club_level,upper_level,gender,gender_num,season_year,paid_in_full,renewed,tenure,wins,ot_losses
9212211,[5],5,5,1,"[2016, 2017, 2018, 2019]",4,0.5609756097560976,0.5487804878048781,82,80121,9.90099778112696,['102'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,7,38,14
9212324,"[3, 4]",4,3,2,"[2016, 2017, 2018, 2019]",4,0.36585365853658536,0.5487804878048781,82,80601,17.744587816502463,['311'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,7,38,14
9212382,"[1, 2]",2,1,2,"[2016, 2017, 2018, 2019]",4,0.6923076923076923,0.5487804878048781,156,80123,9.966794269339156,"['110', '322']",2,1,1,0,1,male,2,2018-2019,0.0,0.0,1,38,14
9213509,"[9, 8, 7]",9,7,3,"[2016, 2017, 2018, 2019]",4,0.8658536585365854,0.5487804878048781,82,80027,17.231725828395778,['144'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,1,38,14
9214349,"[16, 15, 2, 1, 4, 5]",16,1,16,"[2016, 2017, 2018, 2019]",4,0.7926829268292683,0.5487804878048781,82,80538,52.827208434826446,"['380', '126', '144']",3,1,1,0,1,male,2,2018-2019,0.0,1.0,1,38,14
9214523,"[4, 3]",4,3,2,"[2016, 2017, 2018, 2019]",4,0.9390243902439024,0.5487804878048781,82,82009,11.042246228688796,['138'],1,0,1,0,0,unknown,0,2018-2019,0.0,0.0,1,38,14
9216559,"[1, 2, 3]",3,1,3,"[2016, 2017, 2018, 2019]",4,0.8292682926829268,0.5487804878048781,82,80104,32.883852710018104,['106'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,1,38,14
9216657,"[8, 7]",8,7,2,"[2016, 2017, 2018, 2019]",4,0.8536585365853658,0.5487804878048781,41,80221,4.920592092262844,['342'],1,0,0,0,1,male,2,2018-2019,0.0,1.0,4,38,14
9218292,[1],1,1,1,"[2016, 2017, 2018, 2019]",4,0.774390243902439,0.5487804878048781,164,80121,9.90099778112696,['140'],1,0,1,0,0,unknown,0,2018-2019,0.0,1.0,1,38,14
9224643,"[15, 16]",16,15,2,"[2016, 2017, 2018, 2019]",4,0.9634146341463414,0.5487804878048781,82,98684,11.042246228688796,['344'],1,0,0,0,1,male,2,2018-2019,0.0,0.0,1,38,14
9226895,"[16, 17]",17,16,2,"[2016, 2017, 2018, 2019]",4,0.926829268292683,0.5487804878048781,41,80108,22.2594855961173,['134'],1,0,1,0,0,male,2,2018-2019,0.0,1.0,2,38,14
9227523,"[9, 8]",9,8,2,"[2016, 2017, 2018, 2019]",4,1.0,0.5487804878048781,82,80220,5.361284577121255,['244'],1,0,0,1,0,male,2,2018-2019,0.0,1.0,1,38,14
